movie_id,title,count
24,[u'Kill Bill: Vol. 1']
8392,[u'My Neighbor Totoro']
667,[u'You Only Live Twice']
149870,[u'The Wind Rises']
246,[u'Zatoichi']
51739,[u'The Secret World of Arrietty']
329440,[u'The Forest']
64686,[u'47 Ronin']
1904,[u'Memoirs of a Geisha']
616,[u'The Last Samurai']
5879,[u'In the Realm of the Senses']
346,[u'Seven Samurai']
548,[u'Rashomon']
826,[u'The Bridge on the River Kwai']
11878,[u'Yojimbo']
3777,[u'Throne of Blood']
10110,[u'Empire of the Sun']
12100,[u'Windtalkers']
746,[u'The Last Emperor']
58857,[u'13 Assassins']
3580,[u'Changeling']
8392,[u'My Neighbor Totoro']
284293,[u'Still Alice']
11360,[u'Dumbo']
205220,[u'Philomena']
12429,[u'Ponyo']
10559,[u'Frequency']
1440,[u'Little Children']
1791,[u'The Piano Teacher']
329103,[u'Russian Lolita']
109453,[u'Mothers and Daughters']
11896,[u'Throw Momma from the Train']
44147,[u'Wild Target']
1257,[u'Because I Said So']
15648,[u'The Perfect Man']
48266,[u'Ma m\xe8re']
2014,[u'The Edge of Heaven']
10822,[u'Savage Grace']
24469,[u'Fish Tank']
1024,[u'Heavenly Creatures']
620,[u'Ghostbusters']
9806,[u'The Incredibles']
8392,[u'My Neighbor Totoro']
8247,[u'Jumper']
9738,[u'Fantastic Four']
11797,[u'Fright Night']
3981,[u'What Women Want']
11824,[u'Teen Wolf']
242095,[u'The Signal']
4474,[u'My Super Ex-Girlfriend']
9697,[u'Lady in the Water']
13001,[u'Stargate: The Ark of Truth']
9954,[u'The Covenant']
10306,[u'Poltergeist III']
10131,[u'A Nightmare on Elm Street 4: The Dream Master']
6589,[u'Underdog']
11459,[u'Sky High']
12772,[u'Leap of Faith']
11133,[u'Poltergeist II: The Other Side']
19592,[u'Dead Birds']
8392,[u'My Neighbor Totoro']
9297,[u'Monster House']
11208,[u'Wicker Park']
9270,[u'Brick']
11219,[u'The Trouble with Harry']
10491,[u'Enigma']
11718,"[u""Who's Harry Crumb?""]"
9608,[u'The Legend of Sleepy Hollow']
11603,[u'Rear Window']
316028,[u'Faithful in My Fashion']
30719,"[u""I'll Be Seeing You""]"
140300,[u'Kung Fu Panda 3']
